distance_m,longitude,latitude,altitude_m,gradient_deg
18350.0,27.785141,-26.6612,1474.6,-0.35
18400.0,27.784951,-26.660784,1474.4,-0.33
18450.0,27.784759,-26.660368,1474.2,-0.32
18500.0,27.784567,-26.659953,1473.6,-0.31
18550.0,27.78438,-26.659535,1473.0,-0.29
18600.0,27.784194,-26.659117,1472.4,-0.28
18650.0,27.784006,-26.6587,1471.6,-0.26
18700.0,27.783815,-26.658284,1470.8,-0.24
18750.0,27.783624,-26.657868,1470.4,-0.22
18800.0,27.783432,-26.657452,1470.0,-0.2
18850.0,27.783242,-26.657036,1469.6,-0.18
18900.0,27.783051,-26.65662,1469.4,-0.16
18950.0,27.782856,-26.656205,1469.2,-0.14
19000.0,27.782663,-26.655791,1469.0,-0.12
19050.0,27.782471,-26.655375,1469.0,-0.1
19100.0,27.782281,-26.654958,1468.8,-0.08
19150.0,27.782093,-26.654541,1468.6,-0.06
19200.0,27.781906,-26.654124,1468.4,-0.04
19250.0,27.781718,-26.653707,1468.2,-0.02
19300.0,27.781531,-26.653289,1468.0,0.0
19350.0,27.781342,-26.652872,1468.0,0.02
19400.0,27.781154,-26.652456,1468.2,0.03
19450.0,27.780965,-26.652039,1468.4,0.05
19500.0,27.780777,-26.651622,1468.8,0.06
19550.0,27.780588,-26.651205,1469.2,0.07
19600.0,27.7804,-26.650788,1470.0,0.08
19650.0,27.780207,-26.650373,1470.8,0.09
19700.0,27.780015,-26.649957,1471.8,0.1
19750.0,27.779823,-26.649541,1472.6,0.1
19800.0,27.779631,-26.649126,1473.4,0.11
19850.0,27.779439,-26.64871,1474.0,0.11
19900.0,27.779247,-26.648294,1474.4,0.11
19950.0,27.779058,-26.647878,1474.6,0.1
20000.0,27.778869,-26.647461,1474.8,0.1
20050.0,27.778679,-26.647045,1475.4,0.09
20100.0,27.778491,-26.646628,1475.8,0.09
20150.0,27.778303,-26.64621,1476.2,0.08
20200.0,27.778116,-26.645793,1476.6,0.07
20250.0,27.777928,-26.645376,1477.0,0.06
20300.0,27.777737,-26.64496,1477.0,0.05
20350.0,27.777545,-26.644544,1477.0,0.03
20400.0,27.777352,-26.644129,1476.6,0.02
20450.0,27.777159,-26.643714,1476.2,0.01
20500.0,27.776967,-26.643298,1475.8,-0.01
20550.0,27.776775,-26.642883,1475.4,-0.02
20600.0,27.776585,-26.642466,1475.0,-0.03
20650.0,27.776397,-26.642049,1475.0,-0.05
20700.0,27.77621,-26.641632,1474.8,-0.06
20750.0,27.776023,-26.641214,1474.6,-0.08
20800.0,27.775835,-26.640797,1474.4,-0.09
20850.0,27.77564,-26.640383,1474.2,-0.1
20900.0,27.775446,-26.639968,1473.8,-0.12
20950.0,27.775254,-26.639552,1473.6,-0.13
21000.0,27.775067,-26.639135,1473.4,-0.14
21050.0,27.77488,-26.638717,1473.2,-0.15
21100.0,27.774655,-26.638315,1473.2,-0.16
21150.0,27.774462,-26.637901,1473.4,-0.18
21200.0,27.774285,-26.63748,1473.6,-0.18
21250.0,27.774109,-26.637059,1473.8,-0.19
21300.0,27.773926,-26.63664,1473.6,-0.2
21350.0,27.773724,-26.636228,1473.2,-0.21
21400.0,27.773518,-26.635818,1472.6,-0.22
21450.0,27.773311,-26.635408,1472.0,-0.22
21500.0,27.773084,-26.635007,1471.4,-0.23
21550.0,27.772823,-26.634623,1471.2,-0.23
21600.0,27.772538,-26.634252,1471.0,-0.24
21650.0,27.772237,-26.633892,1471.0,-0.24
21700.0,27.771919,-26.633544,1471.0,-0.24
21750.0,27.771575,-26.633216,1471.0,-0.24
21800.0,27.771216,-26.632901,1470.6,-0.24
21850.0,27.770851,-26.632592,1470.2,-0.24
21900.0,27.770478,-26.63229,1469.8,-0.24
21950.0,27.770107,-26.631986,1469.4,-0.24
22000.0,27.76974,-26.631679,1469.0,-0.24
22050.0,27.769372,-26.631372,1469.0,-0.24
22100.0,27.769014,-26.631056,1469.0,-0.23
22150.0,27.768684,-26.630717,1468.6,-0.23
22200.0,27.768405,-26.630344,1468.2,-0.22
22250.0,27.768179,-26.629942,1467.8,-0.22
22300.0,27.767989,-26.629526,1467.4,-0.21
22350.0,27.767844,-26.629096,1466.8,-0.21
22400.0,27.767727,-26.628659,1466.6,-0.2
22450.0,27.767666,-26.628213,1466.4,-0.19
22500.0,27.767656,-26.627764,1466.2,-0.18
22550.0,27.7677,-26.627316,1465.8,-0.18
22600.0,27.767779,-26.626872,1465.2,-0.17
22650.0,27.767912,-26.626439,1465.0,-0.16
22700.0,27.768093,-26.62602,1464.8,-0.15
22750.0,27.768317,-26.625618,1464.6,-0.14
22800.0,27.768578,-26.625233,1464.2,-0.14
22850.0,27.768877,-26.624872,1464.4,-0.13
22900.0,27.769223,-26.624546,1464.2,-0.12
22950.0,27.769593,-26.624242,1464.0,-0.11
23000.0,27.770005,-26.623984,1463.8,-0.11
23050.0,27.77044,-26.62376,1464.0,-0.1
23100.0,27.77089,-26.62356,1464.4,-0.09
23150.0,27.771359,-26.623396,1464.8,-0.09
23200.0,27.771842,-26.623271,1465.2,-0.08
23250.0,27.772327,-26.623154,1465.6,-0.08
23300.0,27.772806,-26.623015,1466.0,-0.08
23350.0,27.773274,-26.622852,1466.0,-0.07
23400.0,27.77373,-26.622661,1466.0,-0.07
23450.0,27.77417,-26.622444,1466.0,-0.07
23500.0,27.774591,-26.622199,1466.0,-0.07
23550.0,27.774998,-26.621936,1466.0,-0.07
23600.0,27.775381,-26.621644,1466.0,-0.07
23650.0,27.775747,-26.621335,1466.0,-0.08
23700.0,27.776081,-26.621,1465.8,-0.08
23750.0,27.776388,-26.620644,1465.6,-0.08
23800.0,27.776679,-26.620277,1465.4,-0.08
23850.0,27.776974,-26.619917,1465.2,-0.09
23900.0,27.777219,-26.619524,1465.0,-0.09
23950.0,27.777459,-26.619129,1465.0,-0.09
24000.0,27.777698,-26.618733,1465.0,-0.1
24050.0,27.777921,-26.61833,1465.2,-0.1
24100.0,27.778128,-26.61792,1465.4,-0.11
24150.0,27.778331,-26.617509,1465.6,-0.11
24200.0,27.778519,-26.617092,1465.8,-0.11
24250.0,27.778707,-26.616675,1466.0,-0.12
24300.0,27.778893,-26.616257,1465.8,-0.12
24350.0,27.779078,-26.615839,1465.6,-0.12
24400.0,27.779263,-26.615421,1465.4,-0.12
24450.0,27.779446,-26.615002,1464.8,-0.12
24500.0,27.779627,-26.614582,1464.2,-0.12
24550.0,27.779807,-26.614163,1463.8,-0.12
24600.0,27.779987,-26.613743,1463.4,-0.12
24650.0,27.780167,-26.613323,1462.8,-0.12
24700.0,27.780348,-26.612903,1462.6,-0.11
24750.0,27.780528,-26.612484,1462.2,-0.11
24800.0,27.780709,-26.612064,1461.8,-0.1
24850.0,27.780889,-26.611644,1461.4,-0.1
24900.0,27.781071,-26.611225,1461.4,-0.09
24950.0,27.781253,-26.610806,1461.4,-0.09
25000.0,27.781435,-26.610386,1461.4,-0.08
25050.0,27.781617,-26.609967,1461.4,-0.07
25100.0,27.781803,-26.60955,1461.4,-0.06
25150.0,27.781991,-26.609132,1461.2,-0.05
25200.0,27.782174,-26.608714,1460.8,-0.04
25250.0,27.782353,-26.608294,1460.6,-0.03
25300.0,27.782533,-26.607874,1460.4,-0.02
25350.0,27.782713,-26.607454,1460.2,-0.01
25400.0,27.782893,-26.607034,1460.0,0.0
25450.0,27.783073,-26.606614,1460.0,0.01
25500.0,27.783253,-26.606194,1460.0,0.02
25550.0,27.783433,-26.605774,1460.0,0.03
25600.0,27.783612,-26.605354,1460.4,0.04
25650.0,27.783792,-26.604934,1460.8,0.05
25700.0,27.783972,-26.604514,1461.0,0.06
25750.0,27.784152,-26.604094,1461.4,0.07
25800.0,27.784332,-26.603675,1461.8,0.08
25850.0,27.784512,-26.603255,1462.0,0.08
25900.0,27.784692,-26.602835,1462.0,0.09
25950.0,27.784872,-26.602415,1462.2,0.1
26000.0,27.785052,-26.601995,1462.6,0.1
26050.0,27.785232,-26.601575,1463.0,0.11
26100.0,27.785412,-26.601155,1463.2,0.11
26150.0,27.785591,-26.600735,1463.6,0.12
26200.0,27.785771,-26.600315,1464.0,0.12
26250.0,27.785951,-26.599895,1464.2,0.13
26300.0,27.786133,-26.599476,1464.4,0.13
26350.0,27.786314,-26.599057,1464.4,0.13
26400.0,27.786495,-26.598637,1464.4,0.13
26450.0,27.786677,-26.598218,1464.4,0.13
26500.0,27.786858,-26.597798,1464.2,0.13
26550.0,27.78704,-26.597379,1464.0,0.13
26600.0,27.787221,-26.59696,1464.0,0.14
26650.0,27.787402,-26.59654,1464.0,0.14
26700.0,27.787584,-26.596121,1464.2,0.14
26750.0,27.787765,-26.595702,1464.4,0.14
26800.0,27.787946,-26.595282,1464.6,0.14
26850.0,27.788128,-26.594863,1464.8,0.13
26900.0,27.788309,-26.594443,1465.0,0.13
